datetime,demand_met_mw,date,hour,minute,day_of_week
2025-04-01 00:00:00,191368.0,2025-04-01,0,0,1
2025-04-01 00:15:00,190921.0,2025-04-01,0,15,1
2025-04-01 00:30:00,190222.0,2025-04-01,0,30,1
2025-04-01 00:45:00,188971.0,2025-04-01,0,45,1
2025-04-01 01:00:00,188162.0,2025-04-01,1,0,1
2025-04-01 01:15:00,187224.0,2025-04-01,1,15,1
2025-04-01 01:30:00,186415.0,2025-04-01,1,30,1
2025-04-01 01:45:00,185541.0,2025-04-01,1,45,1
2025-04-01 02:00:00,183858.0,2025-04-01,2,0,1
2025-04-01 02:15:00,182701.0,2025-04-01,2,15,1
2025-04-01 02:30:00,181585.0,2025-04-01,2,30,1
2025-04-01 02:45:00,181869.0,2025-04-01,2,45,1
2025-04-01 03:00:00,181211.0,2025-04-01,3,0,1
2025-04-01 03:15:00,181081.0,2025-04-01,3,15,1
2025-04-01 03:30:00,180148.0,2025-04-01,3,30,1
2025-04-01 03:45:00,179917.0,2025-04-01,3,45,1
2025-04-01 04:00:00,179493.0,2025-04-01,4,0,1
2025-04-01 04:15:00,181270.0,2025-04-01,4,15,1
2025-04-01 04:30:00,182128.0,2025-04-01,4,30,1
2025-04-01 04:45:00,183128.0,2025-04-01,4,45,1
2025-04-01 05:00:00,183501.0,2025-04-01,5,0,1
2025-04-01 05:15:00,185748.0,2025-04-01,5,15,1
2025-04-01 05:30:00,188161.0,2025-04-01,5,30,1
2025-04-01 05:45:00,189287.0,2025-04-01,5,45,1
2025-04-01 06:00:00,190664.0,2025-04-01,6,0,1
2025-04-01 06:15:00,193812.0,2025-04-01,6,15,1
2025-04-01 06:30:00,197338.0,2025-04-01,6,30,1
2025-04-01 06:45:00,199288.0,2025-04-01,6,45,1
2025-04-01 07:00:00,198851.0,2025-04-01,7,0,1
2025-04-01 07:15:00,199456.0,2025-04-01,7,15,1
2025-04-01 07:30:00,200701.0,2025-04-01,7,30,1
2025-04-01 07:45:00,200970.0,2025-04-01,7,45,1
2025-04-01 08:00:00,199613.0,2025-04-01,8,0,1
2025-04-01 08:15:00,203008.0,2025-04-01,8,15,1
2025-04-01 08:30:00,204718.0,2025-04-01,8,30,1
2025-04-01 08:45:00,209116.0,2025-04-01,8,45,1
2025-04-01 09:00:00,208178.0,2025-04-01,9,0,1
2025-04-01 09:15:00,211804.0,2025-04-01,9,15,1
2025-04-01 09:30:00,214920.0,2025-04-01,9,30,1
2025-04-01 09:45:00,215979.0,2025-04-01,9,45,1
2025-04-01 10:00:00,215695.0,2025-04-01,10,0,1
2025-04-01 10:15:00,214911.0,2025-04-01,10,15,1
2025-04-01 10:30:00,215179.0,2025-04-01,10,30,1
2025-04-01 10:45:00,213914.0,2025-04-01,10,45,1
2025-04-01 11:00:00,213089.0,2025-04-01,11,0,1
2025-04-01 11:15:00,212213.0,2025-04-01,11,15,1
2025-04-01 11:30:00,211350.0,2025-04-01,11,30,1
2025-04-01 11:45:00,210609.0,2025-04-01,11,45,1
2025-04-01 12:00:00,209802.0,2025-04-01,12,0,1
2025-04-01 12:15:00,207974.0,2025-04-01,12,15,1
2025-04-01 12:30:00,207750.0,2025-04-01,12,30,1
2025-04-01 12:45:00,206325.0,2025-04-01,12,45,1
2025-04-01 13:00:00,204955.0,2025-04-01,13,0,1
2025-04-01 13:15:00,201896.0,2025-04-01,13,15,1
2025-04-01 13:30:00,201751.0,2025-04-01,13,30,1
2025-04-01 13:45:00,202258.0,2025-04-01,13,45,1
2025-04-01 14:00:00,202727.0,2025-04-01,14,0,1
2025-04-01 14:15:00,203546.0,2025-04-01,14,15,1
2025-04-01 14:30:00,205581.0,2025-04-01,14,30,1
2025-04-01 14:45:00,206643.0,2025-04-01,14,45,1
2025-04-01 15:00:00,207900.0,2025-04-01,15,0,1
2025-04-01 15:15:00,207521.0,2025-04-01,15,15,1
2025-04-01 15:30:00,208318.0,2025-04-01,15,30,1
2025-04-01 15:45:00,208393.0,2025-04-01,15,45,1
2025-04-01 16:00:00,207788.0,2025-04-01,16,0,1
2025-04-01 16:15:00,206630.0,2025-04-01,16,15,1
2025-04-01 16:30:00,206934.0,2025-04-01,16,30,1
2025-04-01 16:45:00,207608.0,2025-04-01,16,45,1
2025-04-01 17:00:00,204600.0,2025-04-01,17,0,1
2025-04-01 17:15:00,202024.0,2025-04-01,17,15,1
2025-04-01 17:30:00,199892.0,2025-04-01,17,30,1
2025-04-01 17:45:00,197683.0,2025-04-01,17,45,1
2025-04-01 18:00:00,195381.0,2025-04-01,18,0,1
2025-04-01 18:15:00,193932.0,2025-04-01,18,15,1
2025-04-01 18:30:00,197029.0,2025-04-01,18,30,1
2025-04-01 18:45:00,201447.0,2025-04-01,18,45,1
