date,holiday_name,religion,holiday_type,is_holiday,pre_post_flag,reference_festival,impact_scope
2021-12-31,Pre-New Year's Day,Secular,pre_post_window,0,pre,New Year's Day,all_india
2022-01-01,New Year's Day,Secular,minor_festival,1,,,all_india
2022-01-02,Post-New Year's Day,Secular,pre_post_window,0,post,New Year's Day,all_india
2022-01-08,Pre-Guru Gobind Singh Jayanti,Sikh,pre_post_window,0,pre,Guru Gobind Singh Jayanti,north
2022-01-09,Guru Gobind Singh Jayanti,Sikh,minor_festival,1,,,north
2022-01-10,Post-Guru Gobind Singh Jayanti,Sikh,pre_post_window,0,post,Guru Gobind Singh Jayanti,north
2022-01-12,Pre-Makar Sankranti / Pongal,Hindu,pre_post_window,0,pre,Makar Sankranti / Pongal,all_india
2022-01-13,Pre-Makar Sankranti / Pongal,Hindu,pre_post_window,0,pre,Makar Sankranti / Pongal,all_india
2022-01-14,Makar Sankranti / Pongal,Hindu,major_festival,1,,,all_india
2022-01-15,Post-Makar Sankranti / Pongal,Hindu,pre_post_window,0,post,Makar Sankranti / Pongal,all_india
2022-01-16,Post-Makar Sankranti / Pongal,Hindu,pre_post_window,0,post,Makar Sankranti / Pongal,all_india
2022-01-24,Pre-Republic Day,National,pre_post_window,0,pre,Republic Day,all_india
2022-01-25,Pre-Republic Day,National,pre_post_window,0,pre,Republic Day,all_india
2022-01-26,Republic Day,National,national_holiday,1,,,all_india
2022-01-27,Post-Republic Day,National,pre_post_window,0,post,Republic Day,all_india
2022-01-28,Post-Republic Day,National,pre_post_window,0,post,Republic Day,all_india
2022-02-04,Pre-Vasant Panchami,Hindu,pre_post_window,0,pre,Vasant Panchami,north
2022-02-05,Vasant Panchami,Hindu,minor_festival,1,,,north
2022-02-06,Post-Vasant Panchami,Hindu,pre_post_window,0,post,Vasant Panchami,north
2022-02-27,Pre-Maha Shivaratri,Hindu,pre_post_window,0,pre,Maha Shivaratri,all_india
2022-02-28,Pre-Maha Shivaratri,Hindu,pre_post_window,0,pre,Maha Shivaratri,all_india
2022-03-01,Maha Shivaratri,Hindu,major_festival,1,,,all_india
2022-03-02,Post-Maha Shivaratri,Hindu,pre_post_window,0,post,Maha Shivaratri,all_india
2022-03-03,Post-Maha Shivaratri,Hindu,pre_post_window,0,post,Maha Shivaratri,all_india
2022-03-15,Pre-Holika Dahan,Hindu,pre_post_window,0,pre,Holika Dahan,all_india
2022-03-16,Pre-Holi,Hindu,pre_post_window,0,pre,Holi,all_india
2022-03-16,Pre-Holika Dahan,Hindu,pre_post_window,0,pre,Holika Dahan,all_india
2022-03-17,Holika Dahan,Hindu,major_festival,1,,,all_india
2022-03-18,Holi,Hindu,major_festival,1,,,all_india
2022-03-18,Shab-e-Barat,Islam,minor_festival,1,,,all_india
2022-03-19,Post-Holi,Hindu,pre_post_window,0,post,Holi,all_india
2022-03-19,Post-Holika Dahan,Hindu,pre_post_window,0,post,Holika Dahan,all_india
2022-03-19,Post-Shab-e-Barat,Islam,pre_post_window,0,post,Shab-e-Barat,all_india
2022-03-20,Post-Holi,Hindu,pre_post_window,0,post,Holi,all_india
2022-03-31,Pre-Ugadi / Gudi Padwa,Hindu,pre_post_window,0,pre,Ugadi / Gudi Padwa,south
2022-04-01,Pre-Ugadi / Gudi Padwa,Hindu,pre_post_window,0,pre,Ugadi / Gudi Padwa,south
2022-04-02,Ugadi / Gudi Padwa,Hindu,major_festival,1,,,south
2022-04-03,Post-Ugadi / Gudi Padwa,Hindu,pre_post_window,0,post,Ugadi / Gudi Padwa,south
2022-04-04,Post-Ugadi / Gudi Padwa,Hindu,pre_post_window,0,post,Ugadi / Gudi Padwa,south
